ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
Aran,qm81,red,1,4909,true,1Lcube|1H,0.0,1.0,None,None,,5H|4M|4H|3M|3H|2M|2H|1M,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,,Aran|qm|81|red|1|4909|true|9Lcube|9H|0|true||None||5H|6M|6H|7M|7H|8M|8H|9M|0|||Park|||false|false|0|0|0|,['High'],['Low'],"['Mid', 'High', 'Mid', 'High', 'Mid']","['High', 'Mid', 'High']",0.0,0.0,78b6bbb0-9bc3-4332-a619-c8a7b7f510e5
alexander,qm81,red,3,6817,true,8H,0.0,1.0,None,None,Slow,,0.0,,Engage,Engage,,Double Engage,0.0,1.0,100.0,1.0,1.0,,alexander|qm|81|red|3|6817|true|2H|0|true||None|Slow||0||Engage|Engage||Double Engage|false|true|100|1|1|,[],['High'],[],[],0.0,0.0,c95fde61-95ca-4398-9042-080a9df4ff1d
Blen,qm81,red,2,9140,true,5H,0.0,1.0,Engage,Engage,,9M|8M|7M|6M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Blen|qm|81|red|2|9140|true|5H|0|true|Engage|Engage||1M|2M|3M|4M|0||Engage|Engage|||false|false|0|0|0|,[],['High'],"['Mid', 'Mid', 'Mid']",['Mid'],0.0,0.0,1185c82e-847e-40b8-a2d1-cc0772f81fba
Nikhil,qm82,blue,1,5135,true,2H,0.0,0.0,Engage,Engage,,7Lcone|9Lcone,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,,Nikhil|qm|82|blue|1|5135|true|2H|0|false|Engage|Engage||7Lcone|9Lcone|0||Engage|Engage|||false|false|0|0|2|,[],['High'],"['Low', 'Low']",[],1.0,1.0,2763cc77-2dfb-4028-8ec5-a415555c1132
Arav,qm82,blue,2,8015,true,,1.0,1.0,None,None,,1Lcube|3Lcone|5Lcone|6Lcone,0.0,,Engage,Engage,7,,0.0,1.0,0.0,0.0,0.0,,Arav|qm|82|blue|2|8015|true||1|true||None||1Lcube|3Lcone|5Lcone|6Lcone|0||Engage|Engage|7||false|true|0|0|0|,[],[],"['Low', 'Low', 'Low']",['Low'],1.0,1.0,f659cea4-87c8-45e1-9e4b-73fec82ac6f7
Amogh,qm82,blue,3,9030,false,8H,0.0,1.0,None,,,2Lcube|5Lcube|6Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Amogh|qm|82|blue|3|9030|false|8H|0|true||||2Lcube|5Lcube|6Lcube|0||Engage|Engage|||false|false|0|0|0|,[],['High'],[],"['Low', 'Low', 'Low']",1.0,1.0,b080ab29-398d-436c-8dae-ed64d66324ac
Blen,qm82,red,2,5172,true,5Lcube,0.0,0.0,None,,,6M|6H|4M|3M,1.0,struggles with realigning cones to place on high nodes ,None,Park,,,0.0,0.0,0.0,0.0,0.0,,Blen|qm|82|red|2|5172|true|5Lcube|0|false||||4M|4H|6M|7M|1|struggles with realigning cones to place on high nodes ||Park|||false|false|0|0|0|,[],['Low'],"['Mid', 'High', 'Mid', 'Mid']",[],0.0,0.0,49807fae-f8c3-4f5b-bed4-bc59fbe7204a
alexander,qm82,red,3,9023,false,,0.0,0.0,None,None,,,0.0,,None,,,,0.0,0.0,0.0,0.0,0.0,Robot was not on the field,alexander|qm|82|red|3|9023|false||0|false||None|||0||||||false|false|0|0|0|Robot was not on the field,[],[],[],[],0.0,0.0,4b869028-0fb3-4bac-9c21-4041ac83e4a8
Aran,qm82,red,1,9126,true,1H,0.0,1.0,None,None,,5Lcube|5M|2M|1Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Aran|qm|82|red|1|9126|true|9H|0|true||None||5Lcube|5M|8M|9Lcube|1||Engage|Engage|||false|false|0|0|0|,['High'],[],[],"['Low', 'Mid', 'Mid', 'Low']",0.0,0.0,25611cd4-bdb4-4536-97ba-ec3a92d16055
Arav,qm83,blue,2,195,true,5H|9H,0.0,1.0,Engage,None,,,0.0,Tipped,None,None,,,0.0,1.0,0.0,0.0,2.0,,Arav|qm|83|blue|2|195|true|5H|9H|0|true|Engage|None|||0|Tipped||None|||false|true|0|0|2|,['High'],['High'],[],[],0.0,0.0,dde5a94b-c54f-419a-94ce-a2c9f14c0ed2
